製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,12,,,,,
計測開始時刻 ,00/00/00 00:08 ,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
362,0.1039,1.1503,0.2121,-1.086,,0.1039
363,0.0386,1.1118,0.1992,-1.0989,,0.0386
364,0.0475,1.1503,0.1864,-1.0603,,0.0475
365,0.0675,1.1118,0.1735,-1.086,,0.0675
366,0.0124,1.086,0.1735,-1.0475,,0.0124
367,-0.0053,1.0989,0.1607,-1.0218,,0.0053
368,-0.0561,1.0989,0.1478,-1.0475,,0.0561
369,-0.0924,1.086,0.1478,-1.0346,,0.0924
370,-0.1097,1.0732,0.135,-1.0218,,0.1097
371,-0.083,1.0603,0.135,-1.0089,,0.083
372,-0.0468,1.0603,0.1221,-0.9961,,0.0468
373,-0.0335,1.0346,0.1221,-1.0089,,0.0335
374,-0.0694,1.0346,0.1221,-1.0089,,0.0694
375,-0.068,1.0089,0.1221,-1.0089,,0.068
376,-0.0228,1.0089,0.1221,-0.9961,,0.0228
377,0.0009,0.9961,0.1221,-0.9961,,0.0009
378,0.1159,0.9704,0.1092,-1.0218,,0.1159
379,0.2097,0.9832,0.0964,-1.0218,,0.2097
380,0.1619,0.9704,0.1221,-0.9832,,0.1619
381,0.0667,0.9447,0.0964,-0.9961,,0.0667
382,-0.0103,0.9318,0.1092,-1.0089,,0.0103
383,-0.0576,0.8933,0.1092,-1.0089,,0.0576
384,-0.0549,0.8933,0.1221,-1.0346,,0.0549
385,-0.0286,0.8804,0.1092,-1.0346,,0.0286
386,0.0096,0.8676,0.0964,-1.0346,,0.0096
387,0.0028,0.8418,0.0964,-1.0603,,0.0028
388,0.0107,0.8547,0.0964,-1.0346,,0.0107
389,0.0372,0.829,0.0835,-1.0346,,0.0372
390,0.049,0.8161,0.0964,-1.0475,,0.049
391,0.0134,0.8033,0.0964,-1.0346,,0.0134
392,-0.0616,0.8033,0.1092,-1.0603,,0.0616
393,-0.1349,0.7776,0.1092,-1.086,,0.1349
